u_id,date_epoch,date_human,heartrate,steps,calories,gsr,skin_temp,air_temp,,,
1,1402470000,6/11/2014 0:00,55,0,1.3,0.000654,86,82,,,
1,1402470060,6/11/2014 0:01,70,0,1.8,0.000647,85.9,82,,,heartrate: measured in beats per minute
1,1402470120,6/11/2014 0:02,53,0,1.8,0.000649,85.8,82,,,steps: count
1,1402470180,6/11/2014 0:03,53,0,1.8,0.000651,86.1,82,,,calories: measured in kCals
1,1402470240,6/11/2014 0:04,56,0,1.8,0.000632,86.1,82,,,GSR: measured in microsiemens per centimeter
1,1402470300,6/11/2014 0:05,52,0,1.2,0.000627,86.3,82,,,temp: measured in Fahrenheit
1,1402470360,6/11/2014 0:06,53,0,1.4,0.000665,86.3,82,,,
1,1402470420,6/11/2014 0:07,52,0,1.4,0.000723,86,82,,,
1,1402470480,6/11/2014 0:08,56,0,1.5,0.000646,86.3,82,,,
1,1402470540,6/11/2014 0:09,58,0,1.6,0.000622,86.5,82,,,
1,1402470600,6/11/2014 0:10,57,0,1.9,0.000588,86.6,82.4,,,steps & calories: during last min accumulated
1,1402470660,6/11/2014 0:11,56,0,1.9,0.000579,86.9,82.4,,,
1,1402470720,6/11/2014 0:12,56,0,1.8,0.000595,87,82.4,,,
1,1402470780,6/11/2014 0:13,52,0,1.8,0.000602,87.1,82.4,,,
1,1402470840,6/11/2014 0:14,54,0,1.6,0.000612,87.1,82.4,,,
1,1402470900,6/11/2014 0:15,55,0,1.7,0.000644,87.1,82.4,,,
1,1402470960,6/11/2014 0:16,None,0,2.1,0.000618,87.1,82.4,,,
1,1402471020,6/11/2014 0:17,None,0,2.2,0.000642,87.2,82.4,,,
1,1402471080,6/11/2014 0:18,None,24,2.9,0.000651,87.1,82.3,,,
1,1402471140,6/11/2014 0:19,None,18,2.6,0.000652,87.1,82,,,
1,1402471200,6/11/2014 0:20,None,0,2.2,0.000671,87,82,,,
1,1402471260,6/11/2014 0:21,None,0,2.2,0.000672,86.9,82,,,
1,1402471320,6/11/2014 0:22,None,0,2.1,0.000643,86.9,82,,,
1,1402471380,6/11/2014 0:23,70,0,2,0.000659,86.9,82,,,
1,1402471440,6/11/2014 0:24,57,0,1.9,0.000642,87,82,,,
1,1402471500,6/11/2014 0:25,60,0,1.7,0.000667,87,82,,,
1,1402471560,6/11/2014 0:26,53,0,1.7,0.000716,86.8,82,,,
